id;type;title;description;image_url;deal_url;posted_by;posted_date;start_date;end_date;original_price;current_price;discount;active;position;approved;country;city;pin_code
1;INDIA_BONALU;transmitting Research open-source;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Springs evolve Shirt;redefine Specialist implement;Pants;Buckinghamshire;Kids;middleware e-commerce;Chief Berkshire;Fundamental;DASHBOARD_DEAL_BOTTOM_LIST;false;New Zealand;Schulistmouth;Macedonia Gorgeous pink
2;USA_PAIDDEAL;modular;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Cambridgeshire extensible;dot-com;Managed Applications intranet;solutions well-modulated invoice;Phased Rubber Executive;Cambridgeshire;indexing Leu;firmware access;DASHBOARD_DEAL_BOTTOM_LIST;true;Cook Islands;Kiehntown;Steel cross-platform EXE
3;INDIA_DIWALI;out-of-the-box;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;microchip;Rubber Handmade International;AI HDD Monaco;Configuration firewall brand;USB;Berkshire auxiliary;bricks-and-clicks;Rue Digitized;DASHBOARD_DEAL_MIDDLE_LIST;true;Egypt;East Adrienne;Maryland Outdoors Glen
4;USA_CHRISTMAS;Virginia Facilitator Regional;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;plum azure Monitored;Graphical non-volatile;open;Electronics Implementation Bacon;Dollar;yellow Kiribati user-centric;olive;Corporate;DASHBOARD_DEAL_SIDE_LIST;false;Oman;South Martinafurt;Solomon
5;USA_BLACKFRIDAY;Liaison Tuna;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Papua input up;Creative;Steel online;Practical Plastic;Frozen Kids Gloves;panel Up-sized;Avon Senior Books;Oro;DASHBOARD_DEAL_MIDDLE_LIST;false;French Polynesia;New Yadira;hierarchy
6;USA_CHRISTMAS;Frozen;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Internal;Algeria Account Principal;index Practical;one-to-one Administrator;Representative;transmit 1080p Group;Automotive connecting Card;Beauty District Engineer;DASHBOARD_DEAL_SIDE_LIST;false;Palau;Turnerville;Right-sized
7;USA_PAIDDEAL;Chicken;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Fresh;Gloves demand-driven;Jewelery Carolina Wooden;focus systems;SQL Burg;deposit;Awesome;bypass Rubber niches;DASHBOARD_DEAL_SIDE_LIST;true;Rwanda;Lemkebury;rich Configurable
8;INDIA_BONALU;Loan Florida;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Keyboard;Rustic;application boliviano;Pula Solutions array;Rubber Tonga;Product THX;online;expedite Buckinghamshire;DASHBOARD_DEAL_MIDDLE_LIST;true;Heard Island and McDonald Islands;New Edytheborough;withdrawal Assurance invoice
9;INDIA_DASARA;and Nauru;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Fresh;mindshare;Engineer Human Arizona;neural;Uganda Designer Maine;primary Avon;Ports;Incredible Village incubate;DASHBOARD_DEAL_TOP_LIST;false;Belarus;Port Houstonberg;synthesize invoice
10;INDIA_AKSHYA;empower Computer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Squares invoice;neural eco-centric;haptic fault-tolerant;Home GB Pennsylvania;quantify holistic;Refined lime;mindshare;Orchard;DASHBOARD_DEAL_TOP_LIST;false;Rwanda;Aureliaberg;frictionless Morocco payment
