id;type;title;description;image_url;deal_url;posted_by;posted_date;start_date;end_date;original_price;current_price;discount;active;position;approved;country;city;pin_code
1;INDIA_BONALU;capability Towels Money;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;copying Light convergence;silver mint;regional Computer Unit;invoice override;Industrial client-driven invoice;Clothing;eyeballs Wooden Georgia;Fantastic;DASHBOARD_DEAL_SIDE_LIST;true;Puerto Rico;Jonasland;Games Future
2;USA_BLACKFRIDAY;XML;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Bedfordshire aggregate Avon;interface Dynamic gold;withdrawal;Pants sticky;optimize;Central Dollar;Glens deploy Branding;Agent primary Armenia;DASHBOARD_DEAL_BOTTOM_LIST;false;Croatia;Lake Geovanni;maroon Extended synergies
3;INDIA_SANKRANTHI;up input;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Engineer;Down-sized magenta;deposit withdrawal;Bedfordshire;Ball;cutting-edge;feed Boliviano;Saint Ireland;DASHBOARD_DEAL_MIDDLE_LIST;false;United Kingdom;Murrayburgh;Cotton Islands
4;USA_CHRISTMAS;back-end;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;up Quality program;blockchains;Up-sized;gold;Synergistic Gorgeous Glens;multi-byte Peso Berkshire;auxiliary Soft efficient;EXE Ameliorated;DASHBOARD_DEAL_SIDE_LIST;false;Romania;South Roelton;Gold Avon
5;USA_PAIDDEAL;proactive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Manager Unbranded;contingency Berkshire;clicks-and-mortar Automotive;Salad transmit;Shoal;navigating drive payment;Iowa;Corporate multi-byte Prairie;DASHBOARD_DEAL_MIDDLE_LIST;true;Sierra Leone;South Luisshire;reciprocal Fish
6;INDIA_AKSHYA;Profit-focused Computers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Finland Fresh;Regional;middleware;Identity Refined;transmit;Avon;service-desk platforms Omani;cutting-edge;DASHBOARD_DEAL_MIDDLE_LIST;true;Hong Kong;Normachester;networks grid-enabled ivory
7;INDIA_SANKRANTHI;Frozen;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Movies;Tuna;Account;system redundant;empowering Lead Avon;Unbranded zero;payment Point RAM;firewall;DASHBOARD_DEAL_SIDE_LIST;true;Rwanda;South Tannerburgh;Cambridgeshire seize
8;INDIA_AKSHYA;ROI;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;back-end Cambridgeshire Afghani;e-services;Fantastic Lats USB;software Connecticut;Credit Concrete e-commerce;Toys;demand-driven;blue Avenue;DASHBOARD_DEAL_TOP_LIST;true;Saint Pierre and Miquelon;Vincehaven;payment Metrics Profound
9;INDIA_DIWALI;online;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Agent Mouse Vanuatu;system;Rubber;IB silver;Generic Assistant rich;Point;instruction Account Division;Front-line;DASHBOARD_DEAL_BOTTOM_LIST;false;Tunisia;Allen;cyan Concrete
10;USA_FREEDEAL;Pennsylvania;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Coordinator;Soft Bacon;calculate;leverage;Chair interface;Buckinghamshire;paradigms Hawaii;connecting Practical Streamlined;DASHBOARD_DEAL_BOTTOM_LIST;false;Bahamas;Torphyhaven;Concrete Berkshire
