id;name;country;city;store_icon;type;location
1;bleeding-edge payment;Qatar;Hageneston;../fake-data/blob/hipster.txt;bus responsive;ONLINE
2;District;Angola;Pontiac;../fake-data/blob/hipster.txt;microchip hacking Multi-layered;ONLINE
3;Berkshire;Cyprus;Simi Valley;../fake-data/blob/hipster.txt;monitor Granite Coordinator;ONLINE
4;Officer transmitting Bike;Belarus;Zachariahmouth;../fake-data/blob/hipster.txt;Bridge Home Minnesota;ONLINE
5;Ball e-services drive;Sweden;Nikolausbury;../fake-data/blob/hipster.txt;Computers;ONLINE
6;program;Guatemala;Wittingborough;../fake-data/blob/hipster.txt;Applications User-centric;INSTORE
7;Refined Gateway systems;Uzbekistan;Lake Spencerfurt;../fake-data/blob/hipster.txt;invoice;ONLINE
8;Jewelery maroon;Jamaica;Larsonfort;../fake-data/blob/hipster.txt;Panama frame;ONLINE
9;invoice capacity Handmade;Tonga;Port Darbyton;../fake-data/blob/hipster.txt;lime Music Granite;INSTORE
10;Road;French Guiana;Ferryfort;../fake-data/blob/hipster.txt;quantifying Radial;ONLINE
